,Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
330,1583991000000,2020-03-12 05:30:00,ETHUSD,180.57,180.57,180.57,180.57,0.0
331,1583991060000,2020-03-12 05:31:00,ETHUSD,180.57,180.85,180.56,180.85,204.5
332,1583991120000,2020-03-12 05:32:00,ETHUSD,180.85,180.94,180.85,180.86,5.854769
333,1583991180000,2020-03-12 05:33:00,ETHUSD,180.86,180.86,180.86,180.86,0.0
334,1583991240000,2020-03-12 05:34:00,ETHUSD,180.86,180.86,180.86,180.86,0.0
335,1583991300000,2020-03-12 05:35:00,ETHUSD,180.86,181.68,180.86,181.68,4.66
336,1583991360000,2020-03-12 05:36:00,ETHUSD,181.68,181.68,181.25,181.25,20.0
337,1583991420000,2020-03-12 05:37:00,ETHUSD,181.25,181.25,181.01,181.18,304.76789
338,1583991480000,2020-03-12 05:38:00,ETHUSD,181.18,181.18,180.93,180.93,4.5
339,1583991540000,2020-03-12 05:39:00,ETHUSD,180.93,180.93,180.93,180.93,0.0
340,1583991600000,2020-03-12 05:40:00,ETHUSD,180.93,181.08,180.93,181.08,4.5
341,1583991660000,2020-03-12 05:41:00,ETHUSD,181.08,181.33,181.08,181.31,154.3
342,1583991720000,2020-03-12 05:42:00,ETHUSD,181.31,181.31,181.22,181.22,15.0
343,1583991780000,2020-03-12 05:43:00,ETHUSD,181.22,181.39,181.22,181.33,10.514687
344,1583991840000,2020-03-12 05:44:00,ETHUSD,181.33,181.33,181.33,181.33,0.0
345,1583991900000,2020-03-12 05:45:00,ETHUSD,181.33,181.33,181.33,181.33,0.0
346,1583991960000,2020-03-12 05:46:00,ETHUSD,181.33,181.33,181.33,181.33,0.0
347,1583992020000,2020-03-12 05:47:00,ETHUSD,181.33,181.33,181.33,181.33,0.0
348,1583992080000,2020-03-12 05:48:00,ETHUSD,181.33,181.33,181.33,181.33,0.0
349,1583992140000,2020-03-12 05:49:00,ETHUSD,181.33,181.33,181.33,181.33,0.0
350,1583992200000,2020-03-12 05:50:00,ETHUSD,181.33,181.33,181.33,181.33,0.0
351,1583992260000,2020-03-12 05:51:00,ETHUSD,181.33,181.33,181.33,181.33,0.0
352,1583992320000,2020-03-12 05:52:00,ETHUSD,181.33,181.33,181.33,181.33,0.0
353,1583992380000,2020-03-12 05:53:00,ETHUSD,181.33,181.33,181.33,181.33,0.0
354,1583992440000,2020-03-12 05:54:00,ETHUSD,181.33,181.33,181.05,181.09,2.90295
355,1583992500000,2020-03-12 05:55:00,ETHUSD,181.09,181.09,181.09,181.09,0.0
356,1583992560000,2020-03-12 05:56:00,ETHUSD,181.09,181.09,181.09,181.09,0.0
